,Song,Artist,Brand,Streams
131,MAMACITA,"Black Eyed Peas, Ozuna & J. Rey Soul",Louis Vuitton,15781856.0
132,MAMACITA,"Black Eyed Peas, Ozuna & J. Rey Soul",Christian dior,15781856.0
133,MAMACITA,"Black Eyed Peas, Ozuna & J. Rey Soul",Christian dior,15781856.0
134,MAMACITA,"Black Eyed Peas, Ozuna & J. Rey Soul",Louis Vuitton,15781856.0
135,Window Pain - Outro,J. Cole,Hennessey,15336834.0
136,Black SpiderMan,Logic,Christian dior,15206896.0
137,Draco,Future,Fendi,15068621.0
138,Patek,Future & Lil Uzi Vert,Louis Vuitton,13420150.0
139,Patek,Future & Lil Uzi Vert,Christian dior,13420150.0
140,Patek,Future & Lil Uzi Vert,Christian dior,13420150.0
141,Bitchuary,Shordie Shordie,Hennessey,13310125.0
142,London Boy,Taylor Swift,Louis Vuitton,12908015.0
143,Driving Home for Christmas - 2019 Remaster,Oliver Stone,Dom Perignon,12591253.0
144,$$$ - with Matt Ox,Genius Users,Birkin,12265622.0
145,CIVIL WAR - Bonus,Genius,Christian dior,11881701.0
146,Venetia,Lil Uzi Vert,Louis Vuitton,11808746.0
147,Bigger Than Life,Lil Uzi Vert,Louis Vuitton,11441319.0
148,I'm so Groovy,Future,Louis Vuitton,11212178.0
149,I'm so Groovy,Future,Hennessey,11212178.0
150,4th Dimension,KIDS SEE GHOSTS,Louis Vuitton,10864050.0
151,Since Way Back,Drake,Christian dior,10826390.0
152,Rap Saved Me,"21 Savage, Offset & Metro Boomin",Louis Vuitton,10708143.0
153,Rap Saved Me,"21 Savage, Offset & Metro Boomin",Givenchy,10708143.0
154,Rap Saved Me,"21 Savage, Offset & Metro Boomin",Louis Vuitton,10708143.0
155,Calling My Phone,Lil Tjay & 6LACK,Christian dior,10660899.0
156,Calling My Phone,Lil Tjay & 6LACK,Fendi,10660899.0
157,MEGATRON,Nicki Minaj,Fendi,10396690.0
158,POP,Lil Uzi Vert,Christian dior,10319923.0
159,POP,Lil Uzi Vert,Hennessey,10319923.0
160,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",Gerald Haywood,Louis Vuitton,10181354.0
161,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",Gerald Haywood,Marc jacob,10181354.0
162,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",Gerald Haywood,Marc jacob,10181354.0
163,gone girl,​iann dior,Christian dior,10166630.0
164,Snowchild,The Weeknd,Louis Vuitton,10142777.0
165,You Better Move,Lil Uzi Vert,Louis Vuitton,9599627.0
166,SKYBOX,Gunna,Hennessey,9176581.0
167,TELL ME WHY,The Kid LAROI,Hennessey,9111376.0
168,You Don't Know Me - Radio Edit,Genius,Louis Vuitton,9093627.0
169,You Don't Know Me - Radio Edit,Genius,Christian dior,9093627.0
170,You Don't Know Me - Radio Edit,Genius,Hennessey,9093627.0
171,You Don't Know Me - Radio Edit,Genius,Marc jacob,9093627.0
172,Gangstas,Pop Smoke,Hennessey,8906443.0
